Posting Date,Quantity,Amount,Channel Name_masked,District_masked,State Name_masked,Master Variant_masked,Category_masked,Sales Leader_masked,Chain_masked,Zone_masked,NEW Category Mapping_masked,CPG_masked,RSM_masked,Master SKU_masked,Variant Code_masked,Master Flavour_masked,ASM Emp Name_masked,Category Mapping_masked,Customer Name_masked,Size_masked,Sub Channel_masked,No._masked,Sub-category_masked,Segment_masked,Source Document No._masked,Population Group_masked,Source No._masked,GT City_masked
2025-01-03,-3.0,-1285.71,cbfnoGMbJmTPSIAo,FzPDjqipVJIqVLBL,fyNsDOjkOZvAONKz,fPTyzTLfHmBkBqSt,rcyqhODBLkTSYFWs,JPuVzWwXlFfvwNIV,YzcwdEZQTWLgHfQP,uMImZPmMMhsUdVmH,nSzfAhGIcHgKaqJQ,skcsMvBhRjemEFpa,bGnOHxbCzvZNDwNu,UbQfEytAYrsGKHGb,gTUPGyddmkdSmgMC,HMLpeJCHhUaZtIcl,STLPLLdzHkSdhWnP,gZUmJyarELrQWCfW,GkLgvIOxuZheBnZM,LiwlOhaPTZLrXjmO,EUtbXDgIXTYxoohW,nelNnSHyVwvzXJvQ,klGxuBYLURmfWrKo,XWPsgznfBUQTUWyX,lMYmkugpumyazoZG,RCDHsAtBUTYQOyMC,wJlkPrAStSQKGYRo,JmGbwEvTRpwWcbwY
2025-01-03,-1.0,-428.57,cbfnoGMbJmTPSIAo,FzPDjqipVJIqVLBL,fyNsDOjkOZvAONKz,fPTyzTLfHmBkBqSt,rcyqhODBLkTSYFWs,JPuVzWwXlFfvwNIV,YzcwdEZQTWLgHfQP,uMImZPmMMhsUdVmH,nSzfAhGIcHgKaqJQ,skcsMvBhRjemEFpa,bGnOHxbCzvZNDwNu,UbQfEytAYrsGKHGb,gTUPGyddmkdSmgMC,HMLpeJCHhUaZtIcl,STLPLLdzHkSdhWnP,gZUmJyarELrQWCfW,GkLgvIOxuZheBnZM,LiwlOhaPTZLrXjmO,EUtbXDgIXTYxoohW,nelNnSHyVwvzXJvQ,klGxuBYLURmfWrKo,XWPsgznfBUQTUWyX,UfjVgOZeyKSZsWIr,RCDHsAtBUTYQOyMC,wJlkPrAStSQKGYRo,JmGbwEvTRpwWcbwY
2025-01-03,-180.0,-6026.7906,cbfnoGMbJmTPSIAo,FzPDjqipVJIqVLBL,fyNsDOjkOZvAONKz,NFdwaNDvtwgawUlz,edWAijEkWZpzYkPA,JPuVzWwXlFfvwNIV,YzcwdEZQTWLgHfQP,uMImZPmMMhsUdVmH,ezRybcFBDAlaKcQe,skcsMvBhRjemEFpa,bGnOHxbCzvZNDwNu,pzHXZjYaxWayIjfQ,rfkLdCXvWMzuNMNi,NJnQPqtpUBMSvIcw,STLPLLdzHkSdhWnP,HzbZycsJblYlqaAY,GkLgvIOxuZheBnZM,uzNIfMISnmmfzELW,EUtbXDgIXTYxoohW,PgyAjUSNcICKiKzI,qNnaDPSJtvDGqqMP,XwAqwVastAkqbXtR,kFLGIsXgBhbhkIHk,RCDHsAtBUTYQOyMC,wJlkPrAStSQKGYRo,JmGbwEvTRpwWcbwY
2025-01-03,-1.0,-728.57,cbfnoGMbJmTPSIAo,FzPDjqipVJIqVLBL,fyNsDOjkOZvAONKz,AAwwIBHWvhlDBxlJ,DuiUtaeqTJQtnUNM,JPuVzWwXlFfvwNIV,YzcwdEZQTWLgHfQP,uMImZPmMMhsUdVmH,fMxDEIkxQxUJIjuV,skcsMvBhRjemEFpa,bGnOHxbCzvZNDwNu,HnOOBJVlRgstsHHN,zeDKLAlmwyNLMQjL,nQqDvMDJnousGGTn,STLPLLdzHkSdhWnP,rJvNFViqZmJDhjNw,GkLgvIOxuZheBnZM,sKrhgXChxLdpzsGU,EUtbXDgIXTYxoohW,yjBezdqztpbUbCkt,ixrLzybFYalJOEnW,XWPsgznfBUQTUWyX,UfjVgOZeyKSZsWIr,RCDHsAtBUTYQOyMC,wJlkPrAStSQKGYRo,JmGbwEvTRpwWcbwY
2025-01-03,-120.0,-8839.29,cbfnoGMbJmTPSIAo,FzPDjqipVJIqVLBL,fyNsDOjkOZvAONKz,gsykKzeoyDQfwDDP,edWAijEkWZpzYkPA,JPuVzWwXlFfvwNIV,YzcwdEZQTWLgHfQP,uMImZPmMMhsUdVmH,ezRybcFBDAlaKcQe,skcsMvBhRjemEFpa,bGnOHxbCzvZNDwNu,UlxNnAEUHgpZBCuc,kZEzziaJcHibpNhD,tpBNxoYfcRPkQLEE,STLPLLdzHkSdhWnP,HzbZycsJblYlqaAY,GkLgvIOxuZheBnZM,NPhkVCDAgxgIbCGr,EUtbXDgIXTYxoohW,XQmypnWjcKsHVgAG,qNnaDPSJtvDGqqMP,XwAqwVastAkqbXtR,lMYmkugpumyazoZG,RCDHsAtBUTYQOyMC,wJlkPrAStSQKGYRo,JmGbwEvTRpwWcbwY
2025-01-04,-1.0,-771.43,cbfnoGMbJmTPSIAo,FzPDjqipVJIqVLBL,fyNsDOjkOZvAONKz,AJSTFWzIfYPPeIbQ,nCjRrWuaOhHtHgXO,JPuVzWwXlFfvwNIV,YzcwdEZQTWLgHfQP,uMImZPmMMhsUdVmH,IAxBfMqivwPDCWIR,skcsMvBhRjemEFpa,bGnOHxbCzvZNDwNu,VFUOEydkKSMeXXqb,uVGIWbWUDVaXQumi,PnyMTWmZafddUcLd,STLPLLdzHkSdhWnP,OGULGvBzSqncgyvO,GkLgvIOxuZheBnZM,yaGGJYLxKkRdIuhw,EUtbXDgIXTYxoohW,cBxPrFzwglBEROZP,ecGeYITMIgSPWoEH,WsgFdddooCLbqCrZ,lDYreycyBYTILqQY,RCDHsAtBUTYQOyMC,wJlkPrAStSQKGYRo,JmGbwEvTRpwWcbwY
2025-01-04,-1.0,-385.71,cbfnoGMbJmTPSIAo,FzPDjqipVJIqVLBL,fyNsDOjkOZvAONKz,DbeOSRVDyvVzmzca,zLmpweorizhUVLRj,JPuVzWwXlFfvwNIV,YzcwdEZQTWLgHfQP,uMImZPmMMhsUdVmH,OwAlLzxDwXsjRWFR,skcsMvBhRjemEFpa,bGnOHxbCzvZNDwNu,ZHlOFHajbuXSXJAK,EqypcdbMLGrRopBh,wFfMlgsKzEKfqypT,STLPLLdzHkSdhWnP,wtEqCZzSMvcTLbqf,GkLgvIOxuZheBnZM,qbWVaSfKIdhgaApJ,EUtbXDgIXTYxoohW,hPeazSNMsQjZYLlk,vRcPRjJBaeeGpCAN,XWPsgznfBUQTUWyX,lDYreycyBYTILqQY,RCDHsAtBUTYQOyMC,wJlkPrAStSQKGYRo,JmGbwEvTRpwWcbwY
2025-01-06,-1.0,-720.0,cbfnoGMbJmTPSIAo,FzPDjqipVJIqVLBL,fyNsDOjkOZvAONKz,XuhauSaTvnDKYuoJ,DuiUtaeqTJQtnUNM,JPuVzWwXlFfvwNIV,YzcwdEZQTWLgHfQP,uMImZPmMMhsUdVmH,fMxDEIkxQxUJIjuV,skcsMvBhRjemEFpa,bGnOHxbCzvZNDwNu,JYpfvklPKSgOZbEn,uthIrbWpMYTIjlfZ,VodqToOCABfpXAzk,STLPLLdzHkSdhWnP,rJvNFViqZmJDhjNw,GkLgvIOxuZheBnZM,yaGGJYLxKkRdIuhw,EUtbXDgIXTYxoohW,JPeAaMytQdxCGFBA,LBvKglOpMVqqZPXM,XWPsgznfBUQTUWyX,ZEXXccMLzMHuOegG,RCDHsAtBUTYQOyMC,wJlkPrAStSQKGYRo,JmGbwEvTRpwWcbwY
2025-01-16,240.0,7200.0,cbfnoGMbJmTPSIAo,FzPDjqipVJIqVLBL,fyNsDOjkOZvAONKz,KCvYyEUMiWiGODWC,oWTjINBmrdzsyHAE,JPuVzWwXlFfvwNIV,YzcwdEZQTWLgHfQP,uMImZPmMMhsUdVmH,ezRybcFBDAlaKcQe,skcsMvBhRjemEFpa,bGnOHxbCzvZNDwNu,CvhGXXIDGhEQNrYf,BcGEGIlZJewYlEIE,GAOysRpZjbnfFSiQ,STLPLLdzHkSdhWnP,PYyNKXyjbHmOrFKZ,GkLgvIOxuZheBnZM,DKYKGHpvYNSZVQqn,EUtbXDgIXTYxoohW,idOTSYhUXfFWSpec,wQwkjsPTfepqfsJg,XwAqwVastAkqbXtR,vPBczxcgTSVfsnQH,RCDHsAtBUTYQOyMC,wJlkPrAStSQKGYRo,JmGbwEvTRpwWcbwY
2025-01-16,1120.0,33600.0,cbfnoGMbJmTPSIAo,FzPDjqipVJIqVLBL,fyNsDOjkOZvAONKz,KCvYyEUMiWiGODWC,oWTjINBmrdzsyHAE,JPuVzWwXlFfvwNIV,YzcwdEZQTWLgHfQP,uMImZPmMMhsUdVmH,ezRybcFBDAlaKcQe,skcsMvBhRjemEFpa,bGnOHxbCzvZNDwNu,CvhGXXIDGhEQNrYf,BcGEGIlZJewYlEIE,GAOysRpZjbnfFSiQ,STLPLLdzHkSdhWnP,PYyNKXyjbHmOrFKZ,GkLgvIOxuZheBnZM,DKYKGHpvYNSZVQqn,EUtbXDgIXTYxoohW,idOTSYhUXfFWSpec,wQwkjsPTfepqfsJg,XwAqwVastAkqbXtR,tGjkmHyPUrJrkQIW,RCDHsAtBUTYQOyMC,wJlkPrAStSQKGYRo,JmGbwEvTRpwWcbwY
2025-01-16,1.0,1054.69,cbfnoGMbJmTPSIAo,FzPDjqipVJIqVLBL,fyNsDOjkOZvAONKz,UYGNkyJycXkvKQjk,JTsiwtCBJfGlzGmj,JPuVzWwXlFfvwNIV,YzcwdEZQTWLgHfQP,uMImZPmMMhsUdVmH,ezRybcFBDAlaKcQe,skcsMvBhRjemEFpa,bGnOHxbCzvZNDwNu,JUWvhNZcYOuptIBs,rAHgYouNlzOyqIBN,cezTjAabGcizwJKT,STLPLLdzHkSdhWnP,fbdWSUHOikQqiZVh,GkLgvIOxuZheBnZM,akufbaYRkkEMJZix,EUtbXDgIXTYxoohW,LTReezcUGqRZDIRh,iAUJKiyxISouOlEp,VomUcrtigEMuntSI,vPBczxcgTSVfsnQH,RCDHsAtBUTYQOyMC,wJlkPrAStSQKGYRo,JmGbwEvTRpwWcbwY
2025-01-16,2.0,2109.38,cbfnoGMbJmTPSIAo,FzPDjqipVJIqVLBL,fyNsDOjkOZvAONKz,UYGNkyJycXkvKQjk,JTsiwtCBJfGlzGmj,JPuVzWwXlFfvwNIV,YzcwdEZQTWLgHfQP,uMImZPmMMhsUdVmH,ezRybcFBDAlaKcQe,skcsMvBhRjemEFpa,bGnOHxbCzvZNDwNu,JUWvhNZcYOuptIBs,rAHgYouNlzOyqIBN,cezTjAabGcizwJKT,STLPLLdzHkSdhWnP,fbdWSUHOikQqiZVh,GkLgvIOxuZheBnZM,akufbaYRkkEMJZix,EUtbXDgIXTYxoohW,LTReezcUGqRZDIRh,iAUJKiyxISouOlEp,VomUcrtigEMuntSI,tGjkmHyPUrJrkQIW,RCDHsAtBUTYQOyMC,wJlkPrAStSQKGYRo,JmGbwEvTRpwWcbwY
2025-01-16,1.0,1054.69,cbfnoGMbJmTPSIAo,FzPDjqipVJIqVLBL,fyNsDOjkOZvAONKz,KfhQABxwmuwMPbXt,JTsiwtCBJfGlzGmj,JPuVzWwXlFfvwNIV,YzcwdEZQTWLgHfQP,uMImZPmMMhsUdVmH,ezRybcFBDAlaKcQe,skcsMvBhRjemEFpa,bGnOHxbCzvZNDwNu,fekjvkHSImEWOwbv,polWuBlnVSGQLMsL,QisacZcSVRQjbIzQ,STLPLLdzHkSdhWnP,fbdWSUHOikQqiZVh,GkLgvIOxuZheBnZM,akufbaYRkkEMJZix,EUtbXDgIXTYxoohW,LvyAIZzTwfbmJMwn,iAUJKiyxISouOlEp,VomUcrtigEMuntSI,tGjkmHyPUrJrkQIW,RCDHsAtBUTYQOyMC,wJlkPrAStSQKGYRo,JmGbwEvTRpwWcbwY
2025-01-16,3.0,1808.04,cbfnoGMbJmTPSIAo,FzPDjqipVJIqVLBL,fyNsDOjkOZvAONKz,PyoyGTguFMIflmGD,JTsiwtCBJfGlzGmj,JPuVzWwXlFfvwNIV,YzcwdEZQTWLgHfQP,uMImZPmMMhsUdVmH,ZaPcKBJSFYoTVdsx,skcsMvBhRjemEFpa,bGnOHxbCzvZNDwNu,egLagEcEZxzIgqkL,VoKCGxCaIldZbqIc,VodqToOCABfpXAzk,STLPLLdzHkSdhWnP,TfVaawKoiQZOOOwF,GkLgvIOxuZheBnZM,kBYcolktdJaPDEPc,EUtbXDgIXTYxoohW,VOjvUKXhnClaAYDC,InUPNAYGIuAbTANr,VomUcrtigEMuntSI,tGjkmHyPUrJrkQIW,RCDHsAtBUTYQOyMC,wJlkPrAStSQKGYRo,JmGbwEvTRpwWcbwY
2025-01-16,1.0,602.68,cbfnoGMbJmTPSIAo,FzPDjqipVJIqVLBL,fyNsDOjkOZvAONKz,uIKjuGSojdRUzCWM,JTsiwtCBJfGlzGmj,JPuVzWwXlFfvwNIV,YzcwdEZQTWLgHfQP,uMImZPmMMhsUdVmH,ZaPcKBJSFYoTVdsx,skcsMvBhRjemEFpa,bGnOHxbCzvZNDwNu,xmccCmaKwbQxPvAV,TKWSTOSrKaupQTeu,njFhzPmUdPSUmpuA,STLPLLdzHkSdhWnP,TfVaawKoiQZOOOwF,GkLgvIOxuZheBnZM,kBYcolktdJaPDEPc,EUtbXDgIXTYxoohW,TBwDEYzutnKwMkJK,InUPNAYGIuAbTANr,VomUcrtigEMuntSI,vPBczxcgTSVfsnQH,RCDHsAtBUTYQOyMC,wJlkPrAStSQKGYRo,JmGbwEvTRpwWcbwY
2025-01-16,3.0,1808.04,cbfnoGMbJmTPSIAo,FzPDjqipVJIqVLBL,fyNsDOjkOZvAONKz,uIKjuGSojdRUzCWM,JTsiwtCBJfGlzGmj,JPuVzWwXlFfvwNIV,YzcwdEZQTWLgHfQP,uMImZPmMMhsUdVmH,ZaPcKBJSFYoTVdsx,skcsMvBhRjemEFpa,bGnOHxbCzvZNDwNu,xmccCmaKwbQxPvAV,TKWSTOSrKaupQTeu,njFhzPmUdPSUmpuA,STLPLLdzHkSdhWnP,TfVaawKoiQZOOOwF,GkLgvIOxuZheBnZM,kBYcolktdJaPDEPc,EUtbXDgIXTYxoohW,TBwDEYzutnKwMkJK,InUPNAYGIuAbTANr,VomUcrtigEMuntSI,tGjkmHyPUrJrkQIW,RCDHsAtBUTYQOyMC,wJlkPrAStSQKGYRo,JmGbwEvTRpwWcbwY
2025-01-16,2.0,1205.36,cbfnoGMbJmTPSIAo,FzPDjqipVJIqVLBL,fyNsDOjkOZvAONKz,itSTHiBXjPKkueJI,JTsiwtCBJfGlzGmj,JPuVzWwXlFfvwNIV,YzcwdEZQTWLgHfQP,uMImZPmMMhsUdVmH,ZaPcKBJSFYoTVdsx,skcsMvBhRjemEFpa,bGnOHxbCzvZNDwNu,hzLmVqSiKlPLhQpi,lFsRZSJJovUywgXD,cezTjAabGcizwJKT,STLPLLdzHkSdhWnP,fsvlTZcvRGZPbTjO,GkLgvIOxuZheBnZM,kBYcolktdJaPDEPc,EUtbXDgIXTYxoohW,fqAiDGvzXOAkeETW,InUPNAYGIuAbTANr,VomUcrtigEMuntSI,vPBczxcgTSVfsnQH,RCDHsAtBUTYQOyMC,wJlkPrAStSQKGYRo,JmGbwEvTRpwWcbwY
2025-01-16,3.0,1808.04,cbfnoGMbJmTPSIAo,FzPDjqipVJIqVLBL,fyNsDOjkOZvAONKz,itSTHiBXjPKkueJI,JTsiwtCBJfGlzGmj,JPuVzWwXlFfvwNIV,YzcwdEZQTWLgHfQP,uMImZPmMMhsUdVmH,ZaPcKBJSFYoTVdsx,skcsMvBhRjemEFpa,bGnOHxbCzvZNDwNu,hzLmVqSiKlPLhQpi,lFsRZSJJovUywgXD,cezTjAabGcizwJKT,STLPLLdzHkSdhWnP,fsvlTZcvRGZPbTjO,GkLgvIOxuZheBnZM,kBYcolktdJaPDEPc,EUtbXDgIXTYxoohW,fqAiDGvzXOAkeETW,InUPNAYGIuAbTANr,VomUcrtigEMuntSI,tGjkmHyPUrJrkQIW,RCDHsAtBUTYQOyMC,wJlkPrAStSQKGYRo,JmGbwEvTRpwWcbwY
2025-01-16,1.0,1506.7,cbfnoGMbJmTPSIAo,FzPDjqipVJIqVLBL,fyNsDOjkOZvAONKz,ibqYZrQJlPcUFYbd,JTsiwtCBJfGlzGmj,JPuVzWwXlFfvwNIV,YzcwdEZQTWLgHfQP,uMImZPmMMhsUdVmH,ezRybcFBDAlaKcQe,skcsMvBhRjemEFpa,bGnOHxbCzvZNDwNu,auDfigMHJXhLiEFJ,cKHEnekBFEofZMXl,AdWhvFYOLhfvcVSg,STLPLLdzHkSdhWnP,fbdWSUHOikQqiZVh,GkLgvIOxuZheBnZM,akufbaYRkkEMJZix,EUtbXDgIXTYxoohW,gqBpWekPXsvRpqDq,iAUJKiyxISouOlEp,VomUcrtigEMuntSI,tGjkmHyPUrJrkQIW,RCDHsAtBUTYQOyMC,wJlkPrAStSQKGYRo,JmGbwEvTRpwWcbwY
2025-01-16,1.0,428.57,cbfnoGMbJmTPSIAo,FzPDjqipVJIqVLBL,fyNsDOjkOZvAONKz,uPYWcHYAPsWboUvv,rcyqhODBLkTSYFWs,JPuVzWwXlFfvwNIV,YzcwdEZQTWLgHfQP,uMImZPmMMhsUdVmH,nSzfAhGIcHgKaqJQ,skcsMvBhRjemEFpa,bGnOHxbCzvZNDwNu,NSdRSvcsROdspnnn,FjqpwJAfFAIkkuWg,VodqToOCABfpXAzk,STLPLLdzHkSdhWnP,gZUmJyarELrQWCfW,GkLgvIOxuZheBnZM,LiwlOhaPTZLrXjmO,EUtbXDgIXTYxoohW,ghEAJkuhujYGGbct,klGxuBYLURmfWrKo,XWPsgznfBUQTUWyX,tGjkmHyPUrJrkQIW,RCDHsAtBUTYQOyMC,wJlkPrAStSQKGYRo,JmGbwEvTRpwWcbwY
2025-01-16,2.0,857.14,cbfnoGMbJmTPSIAo,FzPDjqipVJIqVLBL,fyNsDOjkOZvAONKz,fPTyzTLfHmBkBqSt,rcyqhODBLkTSYFWs,JPuVzWwXlFfvwNIV,YzcwdEZQTWLgHfQP,uMImZPmMMhsUdVmH,nSzfAhGIcHgKaqJQ,skcsMvBhRjemEFpa,bGnOHxbCzvZNDwNu,UbQfEytAYrsGKHGb,gTUPGyddmkdSmgMC,HMLpeJCHhUaZtIcl,STLPLLdzHkSdhWnP,gZUmJyarELrQWCfW,GkLgvIOxuZheBnZM,LiwlOhaPTZLrXjmO,EUtbXDgIXTYxoohW,nelNnSHyVwvzXJvQ,klGxuBYLURmfWrKo,XWPsgznfBUQTUWyX,vPBczxcgTSVfsnQH,RCDHsAtBUTYQOyMC,wJlkPrAStSQKGYRo,JmGbwEvTRpwWcbwY
2025-01-16,1.0,428.57,cbfnoGMbJmTPSIAo,FzPDjqipVJIqVLBL,fyNsDOjkOZvAONKz,fPTyzTLfHmBkBqSt,rcyqhODBLkTSYFWs,JPuVzWwXlFfvwNIV,YzcwdEZQTWLgHfQP,uMImZPmMMhsUdVmH,nSzfAhGIcHgKaqJQ,skcsMvBhRjemEFpa,bGnOHxbCzvZNDwNu,UbQfEytAYrsGKHGb,gTUPGyddmkdSmgMC,HMLpeJCHhUaZtIcl,STLPLLdzHkSdhWnP,gZUmJyarELrQWCfW,GkLgvIOxuZheBnZM,LiwlOhaPTZLrXjmO,EUtbXDgIXTYxoohW,nelNnSHyVwvzXJvQ,klGxuBYLURmfWrKo,XWPsgznfBUQTUWyX,tGjkmHyPUrJrkQIW,RCDHsAtBUTYQOyMC,wJlkPrAStSQKGYRo,JmGbwEvTRpwWcbwY
